epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4109,1.0614,1.99095,1.06923,0.58642,0.61598,0.62865,0.46429,0.95653,1.17363,0.99428,0.000301629,0.000301629,0.000301629
2,77.0394,0.99161,1.26481,1.04003,0.7152,0.57424,0.64729,0.48344,0.92065,1.10438,0.99345,0.000597147,0.000597147,0.000597147
3,112.929,0.99026,1.14976,1.04126,0.74799,0.62332,0.70452,0.52179,0.93618,0.98362,1.009,0.000885165,0.000885165,0.000885165
4,148.599,0.97388,1.0692,1.03784,0.74128,0.64521,0.71668,0.54393,0.9028,0.94022,0.99223,0.000875253,0.000875253,0.000875253
5,185.295,0.95075,0.99227,1.02882,0.71884,0.64517,0.71095,0.53763,0.89578,0.96998,0.99448,0.000864004,0.000864004,0.000864004
6,220.279,0.93389,0.94257,1.0194,0.76995,0.6634,0.7482,0.57272,0.88818,0.89615,0.99484,0.000852756,0.000852756,0.000852756
7,253.438,0.91499,0.89795,1.01096,0.80112,0.67736,0.77865,0.60495,0.86759,0.81338,0.98982,0.000841507,0.000841507,0.000841507
8,287.411,0.90179,0.87114,1.01148,0.75967,0.69119,0.76455,0.59453,0.85379,0.85134,0.97963,0.000830258,0.000830258,0.000830258
9,324.216,0.89687,0.84008,1.00823,0.79269,0.69213,0.77912,0.61059,0.84427,0.78017,0.97503,0.000819009,0.000819009,0.000819009
10,362.067,0.88134,0.82648,1.00321,0.80804,0.68718,0.79012,0.61826,0.84565,0.80916,0.96574,0.00080776,0.00080776,0.00080776
11,400.874,0.88152,0.81321,1.00036,0.76563,0.70755,0.78085,0.61491,0.83564,0.79317,0.96305,0.000796511,0.000796511,0.000796511
12,438.862,0.8756,0.79501,0.9988,0.80037,0.70857,0.79848,0.62817,0.82005,0.82015,0.96217,0.000785262,0.000785262,0.000785262
13,479.502,0.8645,0.77933,0.99596,0.80446,0.69762,0.78399,0.61842,0.8404,0.76481,0.96317,0.000774013,0.000774013,0.000774013
14,516.219,0.85805,0.76627,0.98928,0.78226,0.71566,0.79586,0.62831,0.82131,0.731,0.96259,0.000762765,0.000762765,0.000762765
15,553.835,0.84776,0.75008,0.98677,0.77982,0.73849,0.80694,0.63307,0.81853,0.71551,0.95977,0.000751516,0.000751516,0.000751516
16,592.284,0.84911,0.74193,0.98364,0.78762,0.72629,0.80717,0.63973,0.81404,0.71477,0.96153,0.000740267,0.000740267,0.000740267
17,631.188,0.84128,0.73255,0.9825,0.79212,0.74502,0.81983,0.64669,0.81565,0.71182,0.95583,0.000729018,0.000729018,0.000729018
18,669.379,0.83566,0.72848,0.97869,0.82025,0.72175,0.80879,0.63762,0.81248,0.70669,0.95965,0.000717769,0.000717769,0.000717769
19,707.839,0.83405,0.72312,0.97838,0.81949,0.7061,0.80328,0.63229,0.82153,0.72902,0.9622,0.00070652,0.00070652,0.00070652
20,743.631,0.82673,0.72148,0.97572,0.80576,0.73998,0.81891,0.6451,0.81766,0.71018,0.96305,0.000695271,0.000695271,0.000695271
21,781.8,0.8238,0.70722,0.9765,0.81215,0.73672,0.81382,0.64005,0.81475,0.69819,0.95908,0.000684022,0.000684022,0.000684022
