frame,track_id,x1,y1,x2,y2,confidence,plate_text
3,1,1140,1322,1652,1805,0.943,
3,2,631,1380,1432,2005,0.924,
3,3,2,681,369,979,0.899,
3,4,2043,869,2428,1233,0.814,
3,5,583,576,815,777,0.792,
3,6,1286,718,1793,1139,0.741,
3,7,1541,578,1816,833,0.663,
3,8,2066,451,2428,859,0.488,
3,9,723,585,908,755,0.465,
3,10,296,670,611,872,0.441,
3,11,2046,657,2430,929,0.383,
3,12,287,534,611,785,0.294,
6,1,1135,1332,1650,1816,0.917,
6,2,667,1394,1474,2025,0.938,
6,3,11,675,377,973,0.894,
6,4,2046,873,2429,1235,0.878,
6,5,585,576,817,777,0.797,
6,6,1306,714,1778,1105,0.795,
6,7,1533,582,1810,839,0.697,
6,8,2090,453,2414,816,0.557,
6,9,696,577,884,750,0.557,
6,11,2052,666,2421,928,0.36,
9,1,1117,1349,1638,1840,0.906,
9,2,671,1413,1476,2044,0.927,
9,3,27,673,389,967,0.882,
9,4,2048,877,2432,1240,0.877,
9,5,596,575,826,775,0.711,
9,6,1320,721,1780,1102,0.775,
9,7,1530,580,1811,840,0.708,
9,8,2081,454,2418,832,0.466,
9,9,733,581,921,755,0.523,
9,12,276,533,658,829,0.341,
12,1,1104,1371,1631,1868,0.86,
12,2,651,1428,1472,2076,0.926,
12,3,46,666,410,962,0.814,
12,4,2048,879,2436,1246,0.857,
12,5,614,574,837,768,0.705,
12,6,1288,706,1774,1108,0.789,
12,7,1539,585,1806,832,0.732,
12,8,2110,455,2412,791,0.699,
12,9,753,586,938,759,0.41,
12,11,2060,683,2409,930,0.5,
15,1,1093,1386,1631,1893,0.911,
15,2,637,1448,1460,2101,0.934,
15,3,66,661,427,955,0.849,
15,4,2052,885,2441,1252,0.897,
15,5,619,574,843,769,0.773,
15,6,1293,712,1776,1111,0.805,
15,7,1532,583,1807,838,0.705,
15,8,2127,456,2416,775,0.708,
15,9,763,590,938,755,0.423,
15,11,2064,690,2408,931,0.374,
18,1,1082,1405,1619,1910,0.928,
18,2,627,1468,1452,2126,0.93,
18,3,85,657,441,948,0.866,
18,4,2052,888,2450,1263,0.902,
18,5,626,574,849,768,0.615,
18,6,1301,726,1775,1116,0.804,
18,7,1530,581,1802,833,0.737,
18,8,2127,456,2425,783,0.813,
18,11,2061,687,2420,939,0.522,
18,22,10,720,98,1099,0.699,
18,23,2134,1085,2936,1869,0.45,
18,24,2216,813,2603,1102,0.48,
18,12,332,576,671,841,0.33,
21,1,1071,1421,1613,1930,0.91,
21,2,622,1487,1451,2154,0.921,
21,3,106,655,454,938,0.86,
21,4,2051,891,2455,1271,0.9,
21,5,635,574,852,763,0.694,
21,6,1319,745,1775,1120,0.819,
21,7,1531,582,1799,831,0.654,
21,8,2131,456,2437,792,0.808,
21,11,2071,689,2428,938,0.361,
21,22,19,721,105,1084,0.734,
21,23,2128,1092,2925,1872,0.489,
21,12,336,572,674,837,0.257,
21,9,780,594,945,752,0.419,
24,1,1054,1435,1609,1956,0.917,
24,2,622,1510,1430,2160,0.92,
24,3,122,652,467,932,0.863,
24,4,2054,898,2459,1278,0.909,
24,5,643,574,851,755,0.659,
24,6,1310,771,1749,1127,0.799,
24,7,1530,587,1795,833,0.512,
24,8,2140,457,2428,769,0.512,
24,11,2071,689,2439,943,0.376,
24,22,27,721,114,1084,0.781,
24,23,2128,1112,2932,1903,0.483,
24,12,376,622,653,837,0.549,
24,9,814,592,969,737,0.563,
27,1,1037,1454,1604,1987,0.911,
27,2,629,1529,1416,2160,0.915,
27,3,139,650,480,928,0.848,
27,4,2056,904,2463,1285,0.902,
27,5,661,574,868,752,0.628,
27,6,1299,776,1749,1138,0.807,
27,7,1517,584,1803,850,0.673,
27,8,2131,457,2436,785,0.277,
27,22,33,720,121,1074,0.837,
27,23,2162,1178,2913,1919,0.389,
27,12,342,556,697,835,0.408,
27,9,818,587,985,744,0.343,
30,1,1031,1475,1596,2006,0.907,
30,2,632,1554,1388,2160,0.933,
30,3,152,649,490,924,0.861,
30,4,2058,914,2461,1290,0.912,
30,5,681,574,889,750,0.674,
30,6,1270,716,1797,1146,0.695,
30,7,1512,583,1805,857,0.666,
30,8,2133,458,2435,780,0.3,
30,22,39,716,128,1060,0.861,
30,23,2156,1180,2931,1950,0.708,
30,11,2040,685,2481,993,0.675,
33,1,1020,1498,1588,2032,0.924,
33,2,639,1586,1359,2160,0.928,
33,3,168,646,496,912,0.857,
33,4,2057,921,2466,1301,0.889,
33,5,695,575,907,751,0.711,
33,6,1275,754,1768,1153,0.61,
33,7,1506,585,1807,868,0.695,
33,8,2139,460,2437,774,0.433,
33,22,46,714,139,1053,0.849,
33,23,2155,1181,2935,1963,0.837,
33,11,2046,686,2479,988,0.61,
33,12,389,590,698,832,0.662,
36,1,1008,1516,1588,2062,0.915,
36,2,642,1609,1340,2160,0.907,
36,3,183,642,508,905,0.895,
36,4,2057,929,2470,1311,0.879,
36,5,702,575,916,749,0.651,
36,6,1295,738,1803,1155,0.667,
36,7,1496,585,1800,874,0.727,
36,8,2144,461,2448,777,0.658,
36,22,51,709,148,1043,0.805,
36,23,2159,1193,2951,1995,0.735,
36,11,2052,690,2477,986,0.284,
36,33,1381,693,1744,917,0.64,
36,35,1670,471,1852,707,0.539,
36,12,401,596,703,831,0.842,
39,1,993,1537,1582,2090,0.896,
39,2,633,1624,1322,2160,0.852,
39,3,196,637,521,900,0.898,
39,4,2060,934,2479,1320,0.88,
39,5,691,574,901,745,0.553,
39,6,1305,792,1760,1160,0.571,
39,7,1489,585,1793,878,0.63,
39,8,2143,460,2452,780,0.457,
39,22,56,705,159,1030,0.811,
39,23,2158,1211,2949,2018,0.865,
39,11,2054,695,2470,986,0.263,
39,33,1378,700,1748,928,0.588,
39,35,1676,471,1849,694,0.504,
39,12,398,577,719,829,0.834,
39,36,2219,1162,2778,1596,0.467,
39,37,1241,582,1373,667,0.41,
39,9,868,597,1005,722,0.354,
42,1,976,1558,1575,2121,0.867,
42,2,605,1647,1280,2158,0.857,
42,3,207,636,530,899,0.898,
42,4,2062,939,2485,1329,0.889,
42,5,693,574,901,743,0.615,
